VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
5434,111,011,2142_02,2403,0.007879166253401243,52.231106,21.065334
5434,111,011,2142_01,89,0.009627029915688104,52.230885,21.063515
5434,111,011,2097_03,57,0.0038399145184741363,52.228558,21.063082
5434,111,011,2143_01,13,0.001313128671357465,52.22509,21.072325
5434,111,011,2144_02,1694,0.006784258324887039,52.225967,21.076845
5434,111,011,2148_01,554,0.007777257940050564,52.22213,21.102373
60054,L18,2,6815_02,2381,0.009636594038104006,52.2833991,20.8322045
60054,L18,2,6123_02,2373,0.008859021515796133,52.2907456,20.8255656
60054,L18,2,6122_02,3,0.008196716649623032,52.2925795,20.8156763
60054,L18,2,6121_02,2382,0.006354654789904282,52.2937125,20.8096306
60054,L18,2,6120_04,2380,0.006601699787003863,52.2956511,20.8042681
60054,L18,2,6135_02,2380,0.004581752474122551,52.2992211,20.8063998
60054,L18,2,6139_01,40,0.0033641357364816364,52.3126498,20.8123186
60054,L18,2,6120_01,60,0.0025404862830679235,52.2943911,20.804753
60054,L18,2,6121_01,64,0.002496862868969224,52.2935016,20.8108388
60054,L18,2,6123_03,7,0.0037388416028177568,52.2902113,20.8271098
60054,L18,2,6816_02,1226,0.006232981936052849,52.2861661,20.8290518
60054,L18,2,6815_01,54,0.007607097608389222,52.2830465,20.8326263
60054,L18,2,6148_01,56,0.005136610561166544,52.2640133,20.8247978
60054,L18,2,6115_01,61,0.0033375924217153297,52.2507189,20.8420223
60054,L18,2,6115_02,9,0.00838457015746918,52.2507,20.843177
60054,L18,2,6147_02,2683,0.008650212340953221,52.256262,20.8384728
60054,L18,2,6200_02,2682,0.0008723819867199954,52.2610685,20.8316545
60054,L18,2,6146_02,19,0.0003770751929256782,52.3032388,20.8085753
6207,124,1,4024_02,163,0.008596404870530644,52.155922,20.962934
6207,124,1,4025_02,170,0.007508273241101947,52.152893,20.965155
6207,124,1,4026_01,6,0.005351134784462505,52.151688,20.965101
6207,124,1,4022_01,20,0.0052273603587483395,52.156685,20.950504
6207,124,1,4022_02,2121,0.009783138051862164,52.156746,20.95027
6207,124,1,4021_01,39,0.005281894362031814,52.159031,20.94161
6207,124,1,4020_01,58,0.0065255206375273355,52.16053,20.93685
6207,124,1,4019_04,161,0.005643044157934052,52.162979,20.930901
6207,124,1,4019_01,2618,0.003954334042277848,52.163788,20.93079
6207,124,1,4018_01,2604,0.0032569449853023093,52.167461,20.935001
6207,124,1,4016_01,2610,0.0031008461681297428,52.171963,20.939644
6207,124,1,4015_12,748,0.006538812964060415,52.175518,20.943493
6207,124,1,4020_02,140,0.008331759826428038,52.160625,20.936613
6207,124,1,4279_02,140,0.006356279453886918,52.157536,20.946402
6207,124,1,4025_01,2652,0.0039149097981948785,52.153385,20.965311
6207,124,1,4023_01,2673,0.0010572868670375103,52.156311,20.959599
6207,124,1,4279_01,2675,0.0024286546977285834,52.157997,20.94557
7862,145,11,1013_11,3,0.005072150992352353,52.2913399,21.0008289
7862,145,11,1013_04,38,0.0031772417743480717,52.290344,21.0034206
7862,145,11,1159_02,13,0.0003560836411969799,52.2934102,21.0135382
7862,145,11,1157_04,0,0.00789179262215239,52.2862652,21.0234772
7875,521,08,2045_02,27,0.0023793503314745897,52.1739036,21.198573
7875,521,08,2044_02,24,0.004606576802126198,52.1784941,21.1939459
7875,521,08,2044_01,3073,0.006510697894466624,52.1790366,21.1933672
7875,521,08,2043_02,10,0.008123164113278259,52.1835054,21.1890249
8343,217,07,3041_01,44,0.007769193898548223,52.1710233,21.0620633
8343,217,07,3280_01,43,0.009748006054143249,52.15028,21.0464633
8343,217,07,3138_05,52,0.0030570830444940546,52.1508383,21.0482767
8343,217,07,3144_01,66,0.0035963174294899405,52.1499483,21.0532667
8343,217,07,3468_01,82,0.005416434701612318,52.1549917,21.0720333
8343,217,07,3385_04,2539,0.00966323015928952,52.1564517,21.075815
8343,217,07,3385_02,29,0.005430743263787307,52.15749,21.0761883
8444,132,08,6005_16,392,0.009407255297143459,52.271986,20.968591
8444,132,08,1359_02,91,0.0018998801052963713,52.3150827,21.0603617
8444,132,08,1358_02,33,0.0036199885373680353,52.3198527,21.0576835
8502,165,4,3104_01,19,0.0038028575421922787,52.158271,21.002336
8502,165,4,3270_02,3578,0.009136577044782417,52.159559,20.992326
8502,165,4,3269_01,2457,0.0014312021764993,52.162381,20.992225
8502,165,4,3268_01,2297,0.007172196828272591,52.167116,20.992993
8502,165,4,3244_02,3497,0.0024780983192148067,52.176259,21.00268
8502,165,4,3113_03,3496,0.0058355332510763875,52.179921,21.015196
8502,165,4,3009_16,576,0.009872193293752697,52.179821,21.024251
8502,165,4,3009_08,3555,0.008790983344408513,52.179944,21.020151
8502,165,4,3249_02,3515,0.007845029690050987,52.177988,21.006191
8502,165,4,3243_05,3475,0.004767167250105807,52.176756,21.00224
8502,165,4,3265_02,1455,0.005809098151563007,52.172858,20.999681
8502,165,4,3269_02,1054,0.005003106358845233,52.163526,20.992319
8560,218,4,3009_16,29,0.005527147891686887,52.1797517,21.0242517
8560,218,4,3411_01,2107,0.007811607417492915,52.18322,20.99353
8560,218,4,3116_02,1149,0.006933778383606187,52.189,21.0066683
8560,218,4,3007_02,363,0.003135734368583454,52.1907417,21.024785
8867,138,4,3267_71,15,0.009732289971123588,52.1702093,20.9953
